"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"133","6/23/21","21-SP3","3A","3","A",NA,"0","2",NA,NA,FALSE,0,"2","1","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"134","6/23/21","21-SP3","3A","3","A",NA,"1",NA,NA,NA,FALSE,0,"0","3","right",0.6,"wide","main",0.6,"wide","L","W","to.trunk"
"135","6/23/21","21-SP3","3A","3","A",NA,"3",NA,"5",NA,FALSE,0,"1","5","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"136","6/23/21","21-SP3","3A","3","A",NA,"3","5",NA,NA,FALSE,0,"5","30","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"137","6/23/21","21-SP3","3A","3","A",NA,"30",NA,NA,NA,FALSE,0,"3","32","main",0.45,"wide","right",0.45,"wide","R","W","away.from.trunk"
"138","6/23/21","21-SP3","3A","3","A",NA,"32",NA,NA,NA,FALSE,0,"30","322","main",0.34,"wide","right",0.25,"narrow","R","N","away.from.trunk"
"139","6/23/21","21-SP3","3A","3","A",NA,"32",NA,"321",NA,FALSE,1,"322","321","right",0.25,"narrow","left",0.34,"wide","R","=","away.from.trunk"
"140","6/23/21","21-SP3","3A","3","A",NA,"32","321","322",NA,FALSE,1,"321","322","left",0.34,"wide","right",0.25,"narrow","L","N","away.from.trunk"
"141","6/23/21","21-SP3","3A","3","A",NA,"32","322",NA,NA,FALSE,1,"322","30","right",0.25,"narrow","main",0.34,"wide","L","=","to.trunk"
"142","6/23/21","21-SP3","3A","3","A",NA,"30",NA,NA,NA,FALSE,1,"32","31","right",0.45,"wide","left",0.34,"narrow","R","N","away.from.trunk"
"143","6/23/21","21-SP3","3A","3","A",NA,"31",NA,NA,NA,FALSE,1,"30","312","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"144","6/23/21","21-SP3","3A","3","A",NA,"31",NA,NA,NA,FALSE,2,"312","30","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
"145","6/23/21","21-SP3","3A","3","A",NA,"30",NA,NA,NA,FALSE,2,"31","32","left",0.34,"narrow","right",0.45,"wide","L","=","away.from.trunk"
"146","6/23/21","21-SP3","3A","3","A",NA,"32",NA,NA,NA,FALSE,2,"30","322","main",0.34,"wide","right",0.25,"narrow","R","N","away.from.trunk"
"147","6/23/21","21-SP3","3A","3","A",NA,"32",NA,NA,NA,FALSE,2,"322","30","right",0.25,"narrow","main",0.34,"wide","L","=","to.trunk"
"148","6/23/21","21-SP3","3A","3","A",NA,"30",NA,NA,NA,FALSE,2,"32","3","right",0.45,"wide","main",0.45,"wide","L","W","to.trunk"
"149","6/23/21","21-SP3","3A","3","A",NA,"3",NA,NA,NA,FALSE,2,"30","1","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"150","6/23/21","21-SP3","3A","3","A",NA,"1",NA,NA,NA,FALSE,2,"3","0","main",0.6,"wide","right",0.6,"wide","R","W","away.from.trunk"
"151","6/23/21","21-SP3","3A","3","A",NA,"0",NA,NA,NA,FALSE,2,"1","-1","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
